candidate,yearID,votes,percent_vote,inducted,ballots,needed,votedBy,category
Carlos Beltrán,2026,358,84.2,Y,425,319,BBWAA,Player
Andruw Jones,2026,333,78.4,Y,425,319,BBWAA,Player
Chase Utley,2026,251,59.1,N,425,319,BBWAA,Player
Andy Pettitte,2026,206,48.5,N,425,319,BBWAA,Player
Félix Hernández,2026,196,46.1,N,425,319,BBWAA,Player
Alex Rodriguez,2026,170,40,N,425,319,BBWAA,Player
Manny Ramirez,2026,165,38.8,N,425,319,BBWAA,Player
Bobby Abreu,2026,131,30.8,N,425,319,BBWAA,Player
Jimmy Rollins,2026,108,25.4,N,425,319,BBWAA,Player
Cole Hamels,2026,101,23.8,N,425,319,BBWAA,Player
Dustin Pedroia,2026,88,20.7,N,425,319,BBWAA,Player
Mark Buehrle,2026,85,20,N,425,319,BBWAA,Player
Omar Vizquel,2026,78,18.4,N,425,319,BBWAA,Player
David Wright,2026,63,14.8,N,425,319,BBWAA,Player
Francisco Rodríguez,2026,50,11.8,N,425,319,BBWAA,Player
Torii Hunter,2026,37,8.7,N,425,319,BBWAA,Player
Ryan Braun,2026,15,3.5,N,425,319,BBWAA,Player
Edwin Encarnación,2026,6,1.4,N,425,319,BBWAA,Player
Shin-Soo Choo,2026,3,0.7,N,425,319,BBWAA,Player
Hunter Pence,2026,2,0.5,N,425,319,BBWAA,Player
Matt Kemp,2026,2,0.5,N,425,319,BBWAA,Player
Rick Porcello,2026,2,0.5,N,425,319,BBWAA,Player
Nick Markakis,2026,1,0.2,N,425,319,BBWAA,Player
Alex Gordon,2026,1,0.2,N,425,319,BBWAA,Player
Daniel Murphy,2026,0,0,N,425,319,BBWAA,Player
Howie Kendrick,2026,0,0,N,425,319,BBWAA,Player
Gio Gonzalez,2026,0,0,N,425,319,BBWAA,Player
